date_id,date,day_of_week,month,year
20220101,2022-01-01,Saturday,January,2022
20220102,2022-01-02,Sunday,January,2022
20220103,2022-01-03,Monday,January,2022
20220104,2022-01-04,Tuesday,January,2022
20220105,2022-01-05,Wednesday,January,2022
20220106,2022-01-06,Thursday,January,2022
20220107,2022-01-07,Friday,January,2022
20220108,2022-01-08,Saturday,January,2022
20220109,2022-01-09,Sunday,January,2022
20220110,2022-01-10,Monday,January,2022
20220111,2022-01-11,Tuesday,January,2022
20220112,2022-01-12,Wednesday,January,2022
20220113,2022-01-13,Thursday,January,2022
20220114,2022-01-14,Friday,January,2022
20220115,2022-01-15,Saturday,January,2022
20220116,2022-01-16,Sunday,January,2022
20220117,2022-01-17,Monday,January,2022
20220118,2022-01-18,Tuesday,January,2022
20220119,2022-01-19,Wednesday,January,2022
20220120,2022-01-20,Thursday,January,2022
20220121,2022-01-21,Friday,January,2022
20220122,2022-01-22,Saturday,January,2022
20220123,2022-01-23,Sunday,January,2022
20220124,2022-01-24,Monday,January,2022
20220125,2022-01-25,Tuesday,January,2022
20220126,2022-01-26,Wednesday,January,2022
20220127,2022-01-27,Thursday,January,2022
20220128,2022-01-28,Friday,January,2022
20220129,2022-01-29,Saturday,January,2022
20220130,2022-01-30,Sunday,January,2022
20220131,2022-01-31,Monday,January,2022
20220201,2022-02-01,Tuesday,February,2022
20220202,2022-02-02,Wednesday,February,2022
20220203,2022-02-03,Thursday,February,2022
20220204,2022-02-04,Friday,February,2022
20220205,2022-02-05,Saturday,February,2022
20220206,2022-02-06,Sunday,February,2022
20220207,2022-02-07,Monday,February,2022
20220208,2022-02-08,Tuesday,February,2022
20220209,2022-02-09,Wednesday,February,2022
20220210,2022-02-10,Thursday,February,2022
20220211,2022-02-11,Friday,February,2022
20220212,2022-02-12,Saturday,February,2022
20220213,2022-02-13,Sunday,February,2022
20220214,2022-02-14,Monday,February,2022
20220215,2022-02-15,Tuesday,February,2022
20220216,2022-02-16,Wednesday,February,2022
20220217,2022-02-17,Thursday,February,2022
20220218,2022-02-18,Friday,February,2022
20220219,2022-02-19,Saturday,February,2022
20220220,2022-02-20,Sunday,February,2022
20220221,2022-02-21,Monday,February,2022
20220222,2022-02-22,Tuesday,February,2022
20220223,2022-02-23,Wednesday,February,2022
20220224,2022-02-24,Thursday,February,2022
20220225,2022-02-25,Friday,February,2022
20220226,2022-02-26,Saturday,February,2022
20220227,2022-02-27,Sunday,February,2022
20220228,2022-02-28,Monday,February,2022
20220301,2022-03-01,Tuesday,March,2022
20220302,2022-03-02,Wednesday,March,2022
20220303,2022-03-03,Thursday,March,2022
20220304,2022-03-04,Friday,March,2022
20220305,2022-03-05,Saturday,March,2022
20220306,2022-03-06,Sunday,March,2022
20220307,2022-03-07,Monday,March,2022
20220308,2022-03-08,Tuesday,March,2022
20220309,2022-03-09,Wednesday,March,2022
20220310,2022-03-10,Thursday,March,2022
20220311,2022-03-11,Friday,March,2022
20220312,2022-03-12,Saturday,March,2022
20220313,2022-03-13,Sunday,March,2022
20220314,2022-03-14,Monday,March,2022
20220315,2022-03-15,Tuesday,March,2022
20220316,2022-03-16,Wednesday,March,2022
20220317,2022-03-17,Thursday,March,2022
20220318,2022-03-18,Friday,March,2022
20220319,2022-03-19,Saturday,March,2022
20220320,2022-03-20,Sunday,March,2022
20220321,2022-03-21,Monday,March,2022
20220322,2022-03-22,Tuesday,March,2022
20220323,2022-03-23,Wednesday,March,2022
20220324,2022-03-24,Thursday,March,2022
20220325,2022-03-25,Friday,March,2022
20220326,2022-03-26,Saturday,March,2022
20220327,2022-03-27,Sunday,March,2022
20220328,2022-03-28,Monday,March,2022
20220329,2022-03-29,Tuesday,March,2022
20220330,2022-03-30,Wednesday,March,2022
20220331,2022-03-31,Thursday,March,2022
20220401,2022-04-01,Friday,April,2022
20220402,2022-04-02,Saturday,April,2022
20220403,2022-04-03,Sunday,April,2022
20220404,2022-04-04,Monday,April,2022
20220405,2022-04-05,Tuesday,April,2022
20220406,2022-04-06,Wednesday,April,2022
20220407,2022-04-07,Thursday,April,2022
20220408,2022-04-08,Friday,April,2022
20220409,2022-04-09,Saturday,April,2022
20220410,2022-04-10,Sunday,April,2022
20220411,2022-04-11,Monday,April,2022
20220412,2022-04-12,Tuesday,April,2022
20220413,2022-04-13,Wednesday,April,2022
20220414,2022-04-14,Thursday,April,2022
20220415,2022-04-15,Friday,April,2022
